St ID,Station Name,Lat,Long,NWS minor (MHHW),Derived Minor,MSL Trend (mm/yr),Epoch center,Region,Time Zone
1611400,"NAWILIWILI, HI",21.9544,-159.3561,NaN,0.3040,1.9596,1992.50,PAC,-10
1612340,"Honolulu, HI",21.3067,-157.8670,NaN,0.3040,1.7514,1992.50,PAC,-10
1612480,"MOKUOLOE, HI",21.4331,-157.7900,NaN,0.3040,2.2497,1992.50,PAC,-10
1615680,"KAHULUI, HI",20.8950,-156.4767,NaN,0.3040,2.1741,1992.50,PAC,-10
1617433,"Kawaihae, HI",20.0366,-155.8294,NaN,0.3040,3.5097,1992.50,PAC,-10
1617760,"HILO, HI",19.7303,-155.0558,NaN,0.3040,2.5768,1992.50,PAC,-10
1619910,MIDWAY ISLAND,28.2117,-177.3600,NaN,0.3040,3.5556,1992.50,PAC,-11
1630000,"APRA HARBOR, GUAM",13.4387,144.6539,NaN,0.3040,5.0106,1992.50,PAC,10
1770000,"PAGO PAGO, AMERICAN SAMOA",-14.2800,-170.6900,NaN,0.3040,20.1035,2015.50,PAC,-11
1820000,KWAJALEIN Island,8.7316,167.7362,NaN,0.3040,3.2799,1992.50,PAC,12
1890000,WAKE ISLAND,19.2900,166.6180,NaN,0.3040,2.4736,1992.50,PAC,12
8413320,"BAR HARBOR, ME",44.3917,-68.2050,NaN,0.6386,2.4163,1992.50,NE,-5
8418150,"PORTLAND, ME",43.6567,-70.2467,NaN,0.6208,1.7519,1992.50,NE,-5
8443970,"Boston, MA",42.3548,-71.0534,0.6804,0.6252,3.4364,1992.50,NE,-5
8447930,"Woods Hole, MA",41.5233,-70.6717,1.0045,0.5269,3.9066,1992.50,NE,-5
8449130,"Nantucket Island, MA",41.2850,-70.0967,0.7402,0.5436,4.5705,1992.50,NE,-5
8452660,"Newport, RI",41.5050,-71.3267,0.8078,0.5470,3.5800,1992.50,NE,-5
8454000,"Providence, RI",41.8071,-71.4012,0.6583,0.5590,3.5874,1992.50,NE,-5
8461490,"New London, CT",41.3614,-72.0900,0.5945,0.5372,4.1554,1992.50,NE,-5
8467150,"Bridgeport, CT",41.1733,-73.1817,0.4824,0.5892,3.8102,1992.50,NE,-5
8510560,"Montauk, NY",41.0483,-71.9600,0.6020,0.5308,4.8769,1992.50,NE,-5
