St ID,Station Name,Lat,Long,NWS minor (MHHW),Derived Minor,MSL Trend (mm/yr),Epoch center,Region,Time Zone
1611400,"NAWILIWILI, HI",21.95,-159.36,NaN,0.30,1.96,1992.50,PAC,-10
1612340,"Honolulu, HI",21.31,-157.87,NaN,0.30,1.75,1992.50,PAC,-10
1612480,"MOKUOLOE, HI",21.43,-157.79,NaN,0.30,2.25,1992.50,PAC,-10
1615680,"KAHULUI, HI",20.90,-156.48,NaN,0.30,2.17,1992.50,PAC,-10
1617433,"Kawaihae, HI",20.04,-155.83,NaN,0.30,3.51,1992.50,PAC,-10
1617760,"HILO, HI",19.73,-155.06,NaN,0.30,2.58,1992.50,PAC,-10
1619910,MIDWAY ISLAND,28.21,-177.36,NaN,0.30,3.56,1992.50,PAC,-11
1630000,"APRA HARBOR, GUAM",13.44,144.65,NaN,0.30,5.01,1992.50,PAC,10
1770000,"PAGO PAGO, AMERICAN SAMOA",-14.28,-170.69,NaN,0.30,20.10,2015.50,PAC,-11
1820000,KWAJALEIN Island,8.73,167.74,NaN,0.30,3.28,1992.50,PAC,12
1890000,WAKE ISLAND,19.29,166.62,NaN,0.30,2.47,1992.50,PAC,12
8413320,"BAR HARBOR, ME",44.39,-68.21,NaN,0.64,2.42,1992.50,NE,-5
8418150,"PORTLAND, ME",43.66,-70.25,NaN,0.62,1.75,1992.50,NE,-5
8443970,"Boston, MA",42.35,-71.05,0.68,0.63,3.44,1992.50,NE,-5
8447930,"Woods Hole, MA",41.52,-70.67,1.00,0.53,3.91,1992.50,NE,-5
8449130,"Nantucket Island, MA",41.29,-70.10,0.74,0.54,4.57,1992.50,NE,-5
8452660,"Newport, RI",41.51,-71.33,0.81,0.55,3.58,1992.50,NE,-5
8454000,"Providence, RI",41.81,-71.40,0.66,0.56,3.59,1992.50,NE,-5
8461490,"New London, CT",41.36,-72.09,0.59,0.54,4.16,1992.50,NE,-5
8467150,"Bridgeport, CT",41.17,-73.18,0.48,0.59,3.81,1992.50,NE,-5
8510560,"Montauk, NY",41.05,-71.96,0.60,0.53,4.88,1992.50,NE,-5
8516945,"Kings Point, NY",40.81,-73.76,0.52,0.60,3.15,1992.50,NE,-5
8518750,"The Battery, NY",40.70,-74.01,0.65,0.56,4.05,1992.50,MID,-5
8519483,"Bergen Point, NY",40.64,-74.14,0.52,0.57,4.2509,1992.50,MID,-5
8531680,"Sandy Hook, NJ",40.47,-74.01,0.45,0.56,4.77,1992.50,MID,-5
8534720,"Atlantic City, NJ",39.36,-74.42,0.43,0.56,5.05,1992.50,MID,-5
8536110,"Cape May, NJ",38.97,-74.96,0.38,0.57,5.75,1992.50,MID,-5
8545240,"Philadelphia, PA",39.93,-75.14,0.46,0.58,4.61,1992.50,MID,-5
8551910,"Reedy Point, DE",39.56,-75.57,0.42,0.57,4.36,1992.50,MID,-5
8557380,"Lewes, DE",38.78,-75.12,0.41,0.56,4.75,1992.50,MID,-5
8571892,"Cambridge, MD",38.57,-76.07,0.45,0.52,4.66,1992.50,MID,-5
8573364,"Tolchester Beach, MD",39.21,-76.25,0.54,0.52,4.80,1992.50,MID,-5
8574680,"Baltimore, MD",39.27,-76.58,0.41,0.52,3.94,1992.50,MID,-5
8575512,"Annapolis, MD",38.98,-76.48,0.29,0.52,4.41,1992.50,MID,-5
8577330,"Solomons Island, MD",38.32,-76.45,NaN,0.52,5.54,1992.50,MID,-5
8594900,"Washington, DC",38.87,-77.02,0.32,0.54,4.25,1992.50,MID,-5
8631044,"Wachapreague, VA",37.61,-75.69,0.61,0.56,5.26,1992.50,MID,-5
8632200,"Kiptopeke, VA",37.17,-75.99,0.48,0.54,4.59,1992.50,MID,-5
8635750,"Lewisetta, VA",38.00,-76.46,0.46,0.52,6.62,1992.50,MID,-5
8636580,"Windmill Point, VA",37.62,-76.29,0.49,0.52,7.37,1992.50,MID,-5
8638610,"Sewells Point, VA",36.95,-76.33,0.53,0.53,5.76,1992.50,MID,-5
8651370,"Duck, NC",36.18,-75.75,0.55,0.54,4.52,1992.50,SE,-5
8652587,"Oregon Inlet Marina, NC",35.795,-75.5483,NaN,0.51,6.48,1992.50,SE,-5
8656483,"Beaufort, NC",34.72,-76.67,0.29,0.54,4.69,1992.50,SE,-5
8658120,"Wilmington, NC",34.23,-77.95,0.25,0.56,4.06,1992.50,SE,-5
8661070,"Springmaid Pier, SC",33.66,-78.92,0.58,0.57,3.29,1992.50,SE,-5
8665530,"Charleston, SC",32.78,-79.93,0.38,0.57,4.27,1992.50,SE,-5
8670870,"Fort Pulaski, GA",32.03,-80.90,0.46,0.59,4.76,1992.50,SE,-5
